Owner ID,URL,Sort Index,Image,Video,GIF,Link,Long Text,Folder,Post ID,User ID,Username,Screen Name,Content,Language,Created At,Sensitive,Post Type,Views Count,Bookmark Count,Favorite Count,Quote Count,Reply Count,Retweet Count,Avatar,Media,Quoted Post
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846116643753410661","1728983481",false,false,false,false,false,"unsorted","1846116643753410661","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@unoto1012 ありがとう　グッパイ","ja","2024-10-15T09:11:21.000Z",,"reply","653",0,1,1,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846116454997069882","1728983436",false,false,false,false,false,"unsorted","1846116454997069882","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@FUMCY8O7NK84 その通り　グッパイ","ja","2024-10-15T09:10:36.000Z",,"reply","216",0,1,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846116349090918630","1728983411",false,false,false,false,false,"unsorted","1846116349090918630","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@Petit_pisu ありがとうよ　グッパイ","ja","2024-10-15T09:10:11.000Z",,"reply","501",0,0,0,1,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846116258158465224","1728983389",false,false,false,false,false,"unsorted","1846116258158465224","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@MK60_kaicho サンキュー","ja","2024-10-15T09:09:49.000Z",,"reply","661",0,0,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846116207214449133","1728983377",false,false,false,false,false,"unsorted","1846116207214449133","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@kabu_kasu_jal みんな選挙に行って、流れをかえようぜ　グッパイ","ja","2024-10-15T09:09:37.000Z",,"post","211",0,0,0,0,1,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846115757249450432","1728983270",false,false,false,false,false,"unsorted","1846115757249450432","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@suzune_unt ありがとうよ　グッパイ","ja","2024-10-15T09:07:50.000Z",,"post","420",0,0,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846115675120775270","1728983250",false,false,false,false,false,"unsorted","1846115675120775270","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@Nurutyan1919 サンキュー","ja","2024-10-15T09:07:30.000Z",,"reply","527",0,0,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846115636235358515","1728983241",false,false,false,false,false,"unsorted","1846115636235358515","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@sekaisi_0824 サンキュー","ja","2024-10-15T09:07:21.000Z",,"reply","214",0,1,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846115595303243850","1728983231",false,false,false,false,false,"unsorted","1846115595303243850","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@ankoromochi6v6 サンキュー","ja","2024-10-15T09:07:11.000Z",,"reply","1363",0,0,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846115548423508295","1728983220",false,false,false,false,false,"unsorted","1846115548423508295","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@2yanv サンキュー","ja","2024-10-15T09:07:00.000Z",,"reply","864",0,0,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
